N,P,K,temperature,humidity,ph,rainfall,label
60,49,34,29.79,86.06,7.3,249.41,rice
94,73,69,34.25,88.01,6.94,200.53,rice
104,59,45,28.74,85.32,6.73,273.16,rice
70,56,69,26.67,83.86,7.42,239.74,rice
61,38,54,31.43,80.4,6.4,235.91,rice
40,48,35,22.67,80.09,6.94,207.7,rice
94,40,30,21.75,81.25,6.94,291.22,rice
91,51,40,26.25,86.54,6.38,280.67,rice
113,20,33,23.46,87.33,6.72,249.73,rice
120,36,46,29.57,85.13,6.61,292.61,rice
83,64,25,25.42,82.32,7.44,238.72,rice
83,61,58,32.44,81.85,6.35,217.93,rice
60,30,67,24.15,84.08,6.07,277.84,rice
110,75,60,26.33,85.99,6.65,293.54,rice
66,23,22,31.66,80.59,7.2,298.13,rice
87,23,30,29.72,82.49,6.64,225.35,rice
93,51,69,27.24,87.67,6.41,278.86,rice
70,34,36,30.25,82.51,6.87,287.83,rice
49,74,44,24.94,80.57,7.2,203.77,rice
101,23,41,26.38,86.43,7.37,214.34,rice
112,53,56,23.42,56.73,6.09,352.29,wheat
103,24,45,20.35,63.93,6.94,448.0,wheat
78,72,65,23.31,61.33,6.12,489.97,wheat
77,20,69,24.04,51.06,6.83,381.78,wheat
58,59,35,10.8,63.12,6.87,425.07,wheat
116,73,53,14.17,54.04,6.07,494.62,wheat
89,64,37,16.6,63.04,6.82,402.83,wheat
107,23,25,11.18,59.71,6.99,405.96,wheat
79,72,51,21.24,63.76,6.27,361.08,wheat
53,64,45,16.81,51.94,6.62,340.33,wheat
73,78,59,11.33,61.51,6.02,477.07,wheat
70,31,36,16.06,56.82,6.79,452.19,wheat
51,67,32,22.3,52.34,6.23,357.89,wheat
99,50,23,15.32,60.21,6.61,475.2,wheat
120,60,41,24.14,63.59,6.81,460.34,wheat
72,38,40,24.28,67.66,6.43,374.01,wheat
108,64,20,20.2,61.6,6.66,398.14,wheat
119,69,28,10.57,50.27,6.43,386.43,wheat
97,27,51,20.02,69.75,6.55,427.33,wheat
43,66,25,19.93,63.67,6.91,486.72,wheat
114,59,55,25.72,80.27,7.1,654.69,maize
48,65,49,23.58,84.43,6.74,562.45,maize
87,74,57,18.72,84.65,7.17,652.74,maize
119,59,57,29.84,78.04,6.93,576.24,maize
78,20,36,22.73,77.03,7.23,523.84,maize
85,51,32,27.4,77.08,6.72,619.28,maize
76,55,52,24.59,84.13,6.51,578.64,maize
106,75,57,27.79,76.94,7.03,508.65,maize
113,51,35,20.37,83.84,7.39,542.16,maize
71,50,55,26.13,79.33,7.46,536.79,maize
90,49,59,29.59,81.77,6.78,639.27,maize
91,25,62,26.47,84.32,6.76,673.34,maize
56,56,62,27.53,76.63,6.43,509.76,maize
103,36,34,22.5,82.16,7.09,673.51,maize
58,35,41,23.62,71.94,6.78,552.62,maize
58,70,53,18.31,70.75,6.45,641.93,maize
48,47,59,29.33,75.04,7.15,570.24,maize
76,55,70,25.24,81.15,6.24,581.89,maize
62,21,24,25.7,73.46,6.4,667.82,maize
105,31,55,21.56,82.7,7.03,611.03,maize
84,62,27,16.28,43.13,6.14,313.68,barley
85,50,47,17.37,54.09,6.29,305.51,barley
116,57,61,16.88,46.05,6.72,275.04,barley
79,36,34,10.86,48.57,6.78,335.84,barley
61,76,25,18.13,58.49,6.09,268.62,barley
110,80,23,15.03,57.21,6.89,296.14,barley
98,39,64,11.22,40.34,6.4,253.31,barley
45,36,67,16.12,46.69,6.7,349.88,barley
85,28,54,18.97,43.55,6.99,331.41,barley
116,50,51,10.22,46.56,6.67,347.62,barley
84,56,56,19.22,40.09,6.62,263.7,barley
45,76,54,18.44,53.99,6.03,322.15,barley
65,65,24,16.27,44.88,6.05,256.2,barley
116,33,23,19.67,47.24,6.95,316.35,barley
52,77,30,18.03,58.51,6.34,278.91,barley
42,64,36,13.63,47.79,6.99,276.05,barley
97,22,50,12.8,55.59,6.8,325.43,barley
101,51,60,17.38,46.02,6.49,262.99,barley
117,46,69,15.37,49.26,6.02,318.92,barley
70,20,66,18.0,57.6,6.11,292.84,barley
70,79,55,32.91,85.14,7.05,1400.82,sugarcane
106,54,35,36.58,85.38,6.87,1252.43,sugarcane
70,68,26,32.37,86.63,6.87,1377.12,sugarcane
61,46,23,28.33,93.71,7.41,1060.37,sugarcane
72,30,70,26.61,92.43,6.91,1172.5,sugarcane
61,56,33,32.98,80.13,7.21,1517.49,sugarcane
45,69,58,26.91,81.67,7.34,1320.12,sugarcane
91,21,36,36.59,88.44,6.96,1127.78,sugarcane
68,71,41,31.94,83.36,6.78,1060.87,sugarcane
111,29,53,32.15,85.77,6.92,1519.22,sugarcane
115,47,53,34.29,85.28,7.32,1587.46,sugarcane
64,25,56,28.22,94.44,7.21,1489.68,sugarcane
99,49,37,29.56,88.08,6.91,1016.31,sugarcane
49,60,67,28.99,80.84,6.58,1489.58,sugarcane
82,23,58,34.88,93.66,7.31,1084.8,sugarcane
79,72,41,27.95,84.14,7.04,1466.25,sugarcane
109,48,37,29.09,92.55,7.08,1087.04,sugarcane
100,62,49,27.38,82.56,6.87,1368.73,sugarcane
99,33,62,29.24,82.52,7.19,1012.16,sugarcane
103,79,58,32.81,81.72,6.78,1547.44,sugarcane
44,69,53,34.8,71.67,6.63,748.31,cotton
71,21,57,30.8,60.98,6.09,846.09,cotton
68,54,55,27.49,63.51,6.21,823.8,cotton
57,68,40,28.52,67.24,6.91,773.47,cotton
81,35,64,33.96,63.93,6.24,808.4,cotton
108,27,61,29.93,64.39,6.07,895.42,cotton
90,68,63,34.59,63.1,6.66,768.95,cotton
119,31,69,32.3,61.55,7.0,838.21,cotton
61,57,50,29.98,60.55,6.17,758.82,cotton
40,21,45,34.04,68.79,6.44,762.32,cotton
61,28,47,34.24,69.44,6.21,880.94,cotton
51,73,44,29.73,72.04,6.45,815.45,cotton
61,29,61,34.55,60.4,6.66,805.7,cotton
60,21,23,27.19,70.37,6.8,802.49,cotton
73,27,61,29.81,60.42,6.67,882.08,cotton
70,79,26,29.63,65.13,6.68,896.77,cotton
109,20,58,28.74,66.53,6.1,893.52,cotton
113,71,59,25.62,64.64,6.97,836.16,cotton
58,61,69,27.7,69.23,6.51,708.37,cotton
56,51,22,27.03,69.39,6.2,710.52,cotton
42,54,44,15.5,46.96,6.13,520.22,chickpea
89,65,30,27.28,41.62,6.35,513.76,chickpea
41,64,27,26.23,58.28,6.55,463.78,chickpea
44,22,67,26.91,45.0,7.32,311.95,chickpea
120,76,54,20.66,54.63,6.89,534.29,chickpea
73,47,55,29.58,52.91,6.12,581.85,chickpea
88,60,43,22.46,40.42,7.29,510.15,chickpea
92,37,41,20.41,47.81,6.39,469.72,chickpea
56,79,69,27.22,59.71,6.04,490.55,chickpea
92,23,40,26.36,49.3,7.05,532.63,chickpea
61,29,63,28.91,54.64,6.23,310.67,chickpea
52,71,23,24.48,51.14,6.67,488.89,chickpea
53,74,39,25.73,50.38,7.28,352.83,chickpea
64,36,35,18.15,49.09,6.59,418.58,chickpea
85,59,42,24.28,55.31,7.0,348.09,chickpea
77,78,30,27.92,53.59,6.81,309.17,chickpea
109,67,35,16.72,47.64,7.4,332.93,chickpea
61,35,41,25.69,40.31,6.5,365.8,chickpea
70,53,51,29.71,47.34,7.06,547.78,chickpea
44,23,49,28.05,50.44,6.87,528.75,chickpea
96,39,25,21.29,44.99,6.34,263.51,lentil
52,25,66,13.37,40.6,6.94,338.17,lentil
89,77,68,18.39,52.28,6.53,339.31,lentil
90,53,34,21.39,40.67,6.82,258.29,lentil
114,21,33,10.28,48.99,6.02,277.25,lentil
53,38,23,18.36,45.7,6.33,263.82,lentil
63,39,30,16.17,53.92,6.52,321.61,lentil
91,61,70,22.56,48.86,6.41,251.41,lentil
75,45,67,17.19,56.25,6.57,416.16,lentil
109,78,65,15.95,58.87,6.46,344.9,lentil
97,26,39,11.17,51.51,6.77,419.77,lentil
61,63,53,14.28,52.44,6.48,484.25,lentil
89,49,34,17.3,56.29,6.78,443.38,lentil
76,31,65,13.79,56.26,6.44,435.47,lentil
42,27,53,20.16,52.22,6.84,393.97,lentil
99,51,64,10.59,43.47,6.55,324.53,lentil
111,78,22,11.53,46.56,6.75,352.51,lentil
96,54,37,11.1,41.05,6.4,260.06,lentil
67,55,27,13.86,56.12,6.26,462.54,lentil
91,73,43,14.47,49.84,6.48,297.2,lentil
72,50,27,11.78,59.38,6.9,466.44,mustard
84,27,64,24.16,68.76,6.96,364.56,mustard
